AV1 		 VP9
		64x64 			32x32 			16x16 			8x8 
		None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 
128x128 	None 	4132864 	57344 	71680 	215872 	4608 	7744 	21712 	1072 	1168 	2800 	0 	0
	Horz 	248832 	3072 	5120 	11392 	320 	128 	896 	240 	96 	240 	0 	0
	Vert 	3328 	266240 	0 	768 	0 	0 	0 	0 	0 	0 	0 	0
64x64 	None 	1553664 	51200 	70912 	199872 	8896 	8768 	20432 	1584 	864 	2016 	0 	0
	Horz 	114176 	14080 	10496 	38336 	2176 	2496 	4864 	592 	192 	496 	0 	0
	Vert 	182272 	7680 	30720 	53440 	2432 	4352 	6672 	352 	336 	512 	0 	0
32x32 	None 	171008 	24256 	25600 	155520 	10944 	10880 	19840 	944 	1056 	1648 	0 	0
	Horz 	24768 	4480 	3072 	23168 	5248 	3584 	10112 	752 	624 	928 	0 	0
	Vert 	28800 	3072 	4224 	24384 	2432 	6272 	9760 	368 	800 	656 	0 	0
16x16 	None 	10784 	1664 	1520 	13472 	3360 	3168 	10560 	592 	720 	768 	0 	0
	Horz 	2176 	416 	144 	1888 	864 	592 	1792 	448 	176 	592 	0 	0
	Vert 	2896 	304 	240 	2352 	624 	528 	1984 	336 	368 	512 	0 	0
8x8 	None 	496 	64 	12 	400 	60 	56 	348 	84 	52 	180 	0 	0
	Horz 	88 	8 	0 	40 	8 	0 	40 	24 	12 	20 	0 	0
	Vert 	88 	20 	4 	40 	12 	8 	36 	4 	0 	36 	0 	0
4x4 	None 	0 	4 	0 	0 	0 	0 	8 	0 	0 	20 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
