AV1 		 VP9
		64x64 			32x32 			16x16 			8x8 
		None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 
128x128 	None 	3361024 	44288 	62720 	162240 	4736 	6464 	19456 	736 	880 	2352 	0 	0
	Horz 	211712 	5632 	4096 	14784 	192 	448 	736 	368 	0 	112 	0 	0
	Vert 	6144 	230656 	256 	960 	0 	64 	0 	0 	0 	0 	0 	0
64x64 	None 	1793280 	62976 	97536 	183424 	8768 	7552 	21872 	1776 	992 	2688 	0 	0
	Horz 	147456 	28416 	10240 	54208 	4160 	2688 	5200 	656 	272 	912 	0 	0
	Vert 	262400 	14592 	55040 	84544 	2624 	6720 	9712 	672 	528 	928 	0 	0
32x32 	None 	232384 	41472 	44288 	240576 	14400 	13696 	32240 	2688 	1904 	3360 	0 	0
	Horz 	32512 	10112 	6016 	41600 	7552 	5056 	17920 	2112 	944 	1680 	0 	0
	Vert 	40768 	6784 	11136 	43264 	5824 	12736 	21488 	1072 	1440 	1472 	0 	0
16x16 	None 	13984 	2912 	3680 	28992 	6816 	6656 	25392 	2240 	2320 	2672 	0 	0
	Horz 	3424 	800 	592 	5952 	2128 	1616 	5344 	1648 	928 	1936 	0 	0
	Vert 	2800 	480 	528 	5872 	1536 	1984 	6240 	912 	1792 	2144 	0 	0
8x8 	None 	500 	92 	48 	992 	336 	292 	1036 	484 	308 	776 	0 	0
	Horz 	32 	4 	0 	76 	64 	44 	128 	76 	12 	168 	0 	0
	Vert 	28 	0 	0 	100 	16 	8 	108 	48 	32 	216 	0 	0
4x4 	None 	8 	0 	0 	0 	0 	0 	8 	0 	0 	24 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
