AV1 		 VP9
		64x64 			32x32 			16x16 			8x8 
		None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 
128x128 	None 	25856 	0 	0 	8768 	1664 	192 	2944 	336 	240 	3008 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	16128 	0 	0 	1152 	256 	256 	2720 	80 	48 	1888 	0 	0
64x64 	None 	76800 	0 	256 	20992 	3776 	704 	9984 	720 	480 	5072 	0 	0
	Horz 	15360 	0 	256 	5568 	768 	64 	848 	48 	32 	96 	0 	0
	Vert 	1280 	0 	0 	1344 	128 	0 	704 	32 	64 	288 	0 	0
32x32 	None 	35072 	512 	192 	46912 	2816 	960 	4928 	560 	320 	2256 	0 	0
	Horz 	19072 	256 	64 	11392 	9088 	256 	6432 	176 	160 	656 	0 	0
	Vert 	7168 	0 	0 	4288 	512 	128 	1696 	96 	64 	576 	0 	0
16x16 	None 	8496 	0 	0 	7296 	2016 	256 	6400 	336 	288 	1600 	0 	0
	Horz 	3344 	0 	0 	2432 	752 	96 	1200 	624 	240 	3952 	0 	0
	Vert 	2848 	0 	0 	1392 	544 	160 	1088 	96 	192 	1520 	0 	0
8x8 	None 	436 	0 	0 	424 	84 	0 	728 	188 	148 	1340 	0 	0
	Horz 	160 	0 	0 	120 	40 	0 	248 	60 	60 	720 	0 	0
	Vert 	104 	0 	0 	76 	4 	0 	148 	20 	28 	428 	0 	0
4x4 	None 	68 	0 	0 	36 	16 	0 	140 	20 	36 	184 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
