AV1 		 VP9
		64x64 			32x32 			16x16 			8x8 
		None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 
128x128 	None 	158464 	256 	256 	14208 	1920 	1536 	4384 	896 	624 	752 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	39680 	0 	0 	896 	128 	576 	1600 	48 	320 	272 	0 	0
64x64 	None 	94208 	256 	256 	9792 	2432 	320 	3264 	384 	544 	416 	0 	0
	Horz 	6656 	512 	0 	320 	64 	0 	112 	0 	0 	16 	0 	0
	Vert 	1024 	0 	0 	832 	0 	64 	128 	0 	0 	0 	0 	0
32x32 	None 	20480 	384 	192 	13632 	832 	512 	2288 	288 	288 	464 	0 	0
	Horz 	6912 	64 	64 	704 	2112 	128 	1936 	176 	80 	432 	0 	0
	Vert 	3328 	0 	0 	448 	64 	0 	368 	48 	48 	48 	0 	0
16x16 	None 	3792 	48 	0 	1664 	368 	448 	2944 	240 	288 	784 	0 	0
	Horz 	2208 	0 	0 	272 	224 	112 	1392 	192 	304 	1680 	0 	0
	Vert 	1376 	16 	0 	224 	48 	96 	832 	160 	176 	528 	0 	0
8x8 	None 	128 	0 	0 	52 	28 	32 	208 	60 	84 	380 	0 	0
	Horz 	56 	0 	0 	16 	24 	8 	72 	28 	36 	332 	0 	0
	Vert 	36 	0 	0 	12 	12 	8 	56 	24 	20 	124 	0 	0
4x4 	None 	4 	0 	0 	0 	0 	0 	16 	0 	4 	28 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
