AV1 		 VP9
		64x64 			32x32 			16x16 			8x8 
		None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 
128x128 	None 	713472 	3072 	1280 	36416 	10944 	512 	3808 	1280 	304 	1008 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
64x64 	None 	112640 	1792 	512 	4352 	1280 	0 	176 	48 	32 	0 	0 	0
	Horz 	1280 	0 	0 	576 	320 	64 	32 	0 	0 	32 	0 	0
	Vert 	0 	0 	0 	0 	0 	64 	80 	48 	0 	64 	0 	0
32x32 	None 	10624 	0 	0 	1792 	64 	192 	208 	0 	16 	32 	0 	0
	Horz 	4096 	0 	0 	1728 	768 	64 	1264 	192 	128 	400 	0 	0
	Vert 	448 	0 	0 	128 	0 	0 	160 	16 	32 	48 	0 	0
16x16 	None 	384 	0 	0 	128 	0 	0 	1040 	80 	48 	128 	0 	0
	Horz 	240 	0 	0 	64 	64 	0 	256 	128 	128 	592 	0 	0
	Vert 	80 	0 	0 	0 	0 	0 	32 	0 	0 	48 	0 	0
8x8 	None 	0 	0 	0 	0 	0 	0 	16 	0 	0 	76 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	20 	0 	0
	Vert 	0 	0 	0 	0 	0 	0 	0 	0 	0 	20 	0 	0
4x4 	None 	0 	0 	0 	0 	0 	0 	0 	0 	0 	12 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
