AV1 		 VP9
		64x64 			32x32 			16x16 			8x8 
		None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 
128x128 	None 	673280 	4096 	0 	29632 	5056 	1408 	8736 	1296 	576 	2960 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
64x64 	None 	131072 	512 	0 	2240 	192 	0 	112 	0 	0 	16 	0 	0
	Horz 	2560 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	256 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
32x32 	None 	19456 	192 	0 	2368 	128 	0 	160 	80 	32 	112 	0 	0
	Horz 	12224 	64 	0 	2176 	256 	256 	1888 	64 	48 	880 	0 	0
	Vert 	640 	0 	0 	128 	0 	0 	0 	0 	0 	0 	0 	0
16x16 	None 	3680 	0 	0 	272 	0 	0 	1328 	64 	48 	400 	0 	0
	Horz 	5504 	0 	0 	608 	64 	0 	672 	144 	64 	1728 	0 	0
	Vert 	560 	0 	0 	48 	0 	0 	80 	16 	0 	144 	0 	0
8x8 	None 	112 	0 	0 	8 	0 	0 	8 	0 	0 	152 	0 	0
	Horz 	64 	0 	0 	12 	0 	0 	4 	0 	0 	80 	0 	0
	Vert 	0 	0 	0 	8 	0 	0 	4 	0 	0 	60 	0 	0
4x4 	None 	0 	0 	0 	4 	0 	0 	0 	0 	0 	52 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
