AV1 		 VP9
		64x64 			32x32 			16x16 			8x8 
		None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 
128x128 	None 	343808 	0 	0 	23936 	2304 	768 	8464 	592 	384 	3744 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
64x64 	None 	222464 	0 	0 	35456 	3584 	1344 	9264 	400 	80 	6448 	0 	0
	Horz 	13056 	256 	0 	7936 	192 	192 	1872 	32 	96 	1200 	0 	0
	Vert 	4096 	0 	0 	512 	0 	0 	272 	0 	0 	240 	0 	0
32x32 	None 	37312 	0 	0 	41920 	960 	832 	2848 	288 	160 	1632 	0 	0
	Horz 	9216 	0 	0 	18048 	4800 	2944 	16000 	2128 	1072 	5184 	0 	0
	Vert 	1088 	0 	0 	3776 	1280 	768 	4496 	448 	352 	2192 	0 	0
16x16 	None 	3104 	0 	0 	3328 	1440 	656 	6944 	592 	480 	1728 	0 	0
	Horz 	4512 	0 	0 	10240 	1984 	1568 	9072 	1328 	832 	8080 	0 	0
	Vert 	816 	0 	0 	1408 	480 	304 	1728 	144 	160 	928 	0 	0
8x8 	None 	196 	0 	0 	428 	208 	132 	864 	192 	84 	1036 	0 	0
	Horz 	52 	0 	0 	204 	76 	92 	516 	132 	48 	940 	0 	0
	Vert 	24 	0 	0 	56 	36 	48 	100 	4 	8 	272 	0 	0
4x4 	None 	0 	0 	0 	16 	0 	16 	72 	40 	4 	264 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
